iter	Passed	Remaining
0	141	141694
1	142	71145
2	143	47634
3	144	35880
4	144	28834
5	145	24133
6	146	20818
7	147	18293
8	148	16339
9	149	14785
10	150	13528
11	151	12481
12	152	11568
13	153	10794
14	154	10120
15	155	9538
16	155	9010
17	156	8542
18	157	8122
19	158	7753
20	158	7410
21	159	7098
22	160	6817
23	161	6559
24	162	6322
25	162	6095
26	163	5887
27	164	5697
28	164	5518
29	165	5356
30	166	5200
31	167	5051
32	167	4912
33	168	4785
34	169	4665
35	169	4550
36	170	4441
37	171	4339
38	172	4239
39	172	4147
40	173	4060
41	174	3974
42	175	3899
43	175	3823
44	176	3749
45	177	3678
46	178	3610
47	178	3546
48	179	3484
49	180	3424
50	180	3365
51	181	3309
52	182	3256
53	183	3205
54	183	3155
55	184	3109
56	185	3065
57	186	3021
58	186	2979
59	187	2937
60	188	2897
61	188	2858
62	189	2820
63	190	2784
64	191	2750
65	191	2716
66	192	2682
67	192	2645
68	193	2612
69	194	2584
70	195	2555
71	196	2526
72	196	2498
73	197	2470
74	198	2445
75	198	2418
76	199	2393
77	200	2368
78	201	2344
79	201	2320
80	202	2297
81	203	2276
82	204	2255
83	205	2235
84	205	2213
85	206	2194
86	206	2171
87	207	2153
88	208	2135
89	209	2117
90	210	2100
91	211	2082
92	211	2065
93	212	2048
94	213	2032
95	214	2015
96	214	1999
97	215	1983
98	216	1967
99	216	1952
100	217	1937
101	218	1920
102	218	1905
103	219	1892
104	220	1878
105	221	1865
106	221	1851
107	222	1838
108	223	1826
109	224	1813
110	224	1801
111	225	1789
112	226	1777
113	227	1766
114	227	1754
115	228	1742
116	229	1731
117	230	1720
118	230	1709
119	231	1698
120	232	1687
121	233	1677
122	233	1664
123	234	1654
124	234	1644
125	235	1634
126	236	1624
127	236	1613
128	237	1604
129	238	1594
130	238	1584
131	239	1575
132	240	1566
133	240	1556
134	241	1547
135	242	1538
136	243	1530
137	243	1521
138	244	1513
139	245	1505
140	245	1497
141	246	1490
142	247	1482
143	248	1474
144	248	1467
145	249	1459
146	250	1451
147	251	1445
148	251	1437
149	252	1430
150	253	1423
151	253	1416
152	254	1408
153	255	1401
154	255	1393
155	256	1386
156	256	1379
157	257	1372
158	258	1365
159	258	1358
160	259	1351
161	260	1344
162	260	1338
163	261	1331
164	261	1325
165	262	1318
166	263	1312
167	263	1305
168	264	1299
169	264	1293
170	265	1286
171	266	1280
172	266	1276
173	267	1270
174	268	1265
175	269	1260
176	269	1254
177	270	1249
178	271	1244
179	271	1238
180	272	1231
181	272	1226
182	273	1221
183	274	1215
184	274	1210
185	275	1205
186	275	1199
187	276	1194
188	277	1189
189	277	1184
190	278	1179
191	279	1174
192	279	1169
193	280	1164
194	281	1160
195	281	1155
196	282	1150
197	282	1145
198	283	1141
199	284	1136
200	284	1131
201	285	1127
202	285	1122
203	286	1117
204	287	1113
205	287	1108
206	288	1104
207	288	1100
208	289	1095
209	290	1091
210	290	1087
211	291	1082
212	291	1078
213	292	1074
214	293	1070
215	293	1065
216	294	1061
217	294	1057
218	295	1053
219	296	1049
220	296	1046
